20181211175505,162,214,102,0.0047,0.0567,2,129
20181211175506,205,192,88,0.0052,0.1219,22,103
20181211175507,895,232,131,0.0043,0.0725,4,141
20181211175510,151,218,112,0.0046,0.7439,3,133
20181211175515,189,207,92,0.0048,0.0535,4,135
20181211175519,175,209,92,0.0048,0.1547,5,123
20181211175519,789,210,98,0.0048,0.0611,5,118
20181211175522,369,218,107,0.0046,0.0631,1,134
20181211175523,397,215,98,0.0046,0.0544,2,123
20181211175523,487,213,118,0.0047,0.7509,4,129
20181211175528,446,211,121,0.0047,0.1279,9,135
20181211175529,858,200,100,0.0050,0.0847,9,133
20181211175531,252,204,107,0.0049,0.7681,9,117
20181211175543,016,193,93,0.0052,0.0883,12,125
20181211175549,451,201,120,0.0050,0.2046,7,149
20181211175552,865,191,95,0.0052,0.0731,8,150
20181211175554,010,195,102,0.0051,0.1088,13,129
20181211175554,430,205,112,0.0049,0.0747,10,136
20181211175558,919,183,94,0.0055,0.1377,12,139
20181211175607,399,188,95,0.0053,0.1076,12,115
20181211175607,796,201,112,0.0050,0.1167,9,126
20181211175609,370,212,122,0.0047,0.0915,3,123
20181211175609,505,196,106,0.0051,0.0964,9,135
20181211175609,783,187,99,0.0053,0.1327,12,127
20181211175611,139,188,96,0.0053,0.1181,7,129
20181211175614,682,183,97,0.0055,0.7658,11,127
20181211175617,085,201,109,0.0050,0.0877,8,144
20181211175619,005,200,101,0.0050,0.0994,7,125
20181211175628,198,221,129,0.0045,0.1116,7,140
20181211175635,895,200,94,0.0050,0.0660,3,127
20181211175637,731,220,115,0.0045,0.0652,2,109
20181211175641,454,212,105,0.0047,0.0908,4,131
20181211175644,710,207,96,0.0048,0.0989,7,130
20181211175649,364,223,124,0.0045,0.0742,5,131
20181211175649,472,221,119,0.0045,0.0620,4,142
20181211175653,410,200,91,0.0050,0.0839,5,129
20181211175656,381,215,106,0.0046,0.0882,6,134
20181211175659,221,214,101,0.0047,0.0647,5,135
20181211175702,437,218,110,0.0046,0.0585,4,123
20181211175703,318,200,89,0.0050,0.0710,10,118
20181211175703,937,206,94,0.0049,0.0714,7,140
20181211175705,618,230,133,0.0043,0.1011,5,157
20181211175705,856,208,97,0.0048,0.0748,3,158
20181211175709,108,211,99,0.0047,0.1180,8,134
20181211175723,265,212,109,0.0047,0.2225,8,147
20181211175728,709,233,127,0.0043,0.0824,4,123
20181211175730,725,233,121,0.0043,0.1751,4,115
20181211175731,205,212,100,0.0047,0.6702,7,135
20181211175731,559,204,89,0.0049,0.0606,5,141
20181211175738,197,206,93,0.0048,0.0879,8,142
20181211175743,232,220,106,0.0045,0.0871,7,122
